b,g,r
126.87456512451172,146.08963012695312,196.07952880859375
126.42860412597656,145.9918212890625,195.7541961669922
126.62217712402344,145.98019409179688,195.90724182128906
126.66265106201172,146.0032958984375,195.9109649658203
126.27542114257812,145.86761474609375,195.59512329101562
126.52523803710938,145.93411254882812,195.82383728027344
126.60877990722656,145.9755401611328,195.88690185546875
126.2893295288086,145.8802490234375,195.67694091796875
126.65817260742188,145.92062377929688,195.9084930419922
126.53764343261719,145.8607940673828,195.8346405029297
126.2220230102539,145.62547302246094,195.5387420654297
126.39496612548828,145.56790161132812,195.64512634277344
126.45386505126953,145.6183319091797,195.74343872070312
126.17860412597656,145.6581268310547,195.5089874267578
126.44963073730469,145.76806640625,195.70840454101562
126.4112319946289,145.77503967285156,195.7486114501953
126.2648696899414,145.58261108398438,195.51600646972656
126.5913314819336,145.98861694335938,195.90444946289062
126.54997253417969,145.8515625,195.79757690429688
126.49153900146484,145.85543823242188,195.75355529785156
126.7562026977539,146.04637145996094,196.0146026611328
126.76199340820312,146.09246826171875,195.98348999023438
126.63565826416016,145.98277282714844,195.9496307373047
126.7834243774414,145.96913146972656,196.06314086914062
126.84635162353516,146.0355987548828,196.09603881835938
126.39825439453125,145.88125610351562,195.7332763671875
126.8068618774414,146.0227813720703,196.0708770751953
126.83625030517578,146.04896545410156,196.06993103027344
126.49593353271484,145.908203125,195.81065368652344
126.67780303955078,146.0375518798828,195.992919921875
126.52367401123047,145.94915771484375,195.86883544921875
126.35926818847656,145.93914794921875,195.77914428710938
126.76862335205078,146.15374755859375,196.10513305664062
126.72465515136719,146.14901733398438,196.07608032226562
126.56924438476562,146.1259765625,195.92047119140625
126.82244110107422,146.2408905029297,196.1227264404297
126.83760070800781,146.22299194335938,196.12710571289062
126.45581817626953,146.0865020751953,195.783935546875
126.85216522216797,146.27040100097656,196.10629272460938
126.79862213134766,146.3050537109375,196.095458984375
126.59275817871094,146.19464111328125,195.860107421875
